T s,lat deg,lon deg,ellipsoid alt m,tvel m/s,xdot m/s,ydot m/s,zdot m/s,gr m,dt s,xdd,ydd,zdd,xa m/s^2,ya m/s^2,zang m/s^2,tacc m/s^2
0.05,32.41794059,-106.3200653,1230.07,38.73,-2.56,-0.37,-38.64,3.41,0.05,0.21,0.01,3.45,4.2,0.2,78.8,78.912103
0.1,32.41794059,-106.3200653,1228.23,35.27,-2.35,-0.36,-35.19,3.48,0.05,0.21,0.01,3.45,4.2,0.2,78.8,78.912103
0.15,32.41794059,-106.3200653,1226.55,31.81,-2.14,-0.35,-31.74,3.55,0.05,0.21,0.01,3.45,4.2,0.2,78.8,78.912103
0.2,32.41793486,-106.3200653,1225.05,28.36,-1.93,-0.35,-28.29,3.62,0.05,0.21,0,3.45,4.2,0,78.8,78.91184955
0.25,32.41793486,-106.3200653,1223.73,24.9,-1.72,-0.34,-24.84,3.68,0.05,0.21,0.01,3.45,4.2,0.2,78.8,78.912103
0.3,32.41793486,-106.3200653,1222.57,21.45,-1.51,-0.33,-21.39,3.74,0.05,0.21,0.01,3.45,4.2,0.2,78.8,78.912103
0.35,32.41793486,-106.3200653,1221.59,17.99,-1.3,-0.33,-17.94,3.79,0.05,0.21,0,3.45,4.2,0,78.8,78.91184955
0.4,32.41793486,-106.3200653,1220.78,14.54,-1.09,-0.32,-14.5,3.84,0.05,0.21,0.01,3.44,4.2,0.2,78.6,78.71238784
0.45,32.41793486,-106.3200653,1220.14,11.08,-0.88,-0.31,-11.05,3.88,0.05,0.21,0.01,3.45,4.2,0.2,78.8,78.912103
0.5,32.41793486,-106.3200653,1219.67,7.63,-0.67,-0.31,-7.6,3.91,0.05,0.21,0,3.45,4.2,0,78.8,78.91184955
0.55,32.41793486,-106.3200653,1219.38,4.19,-0.46,-0.3,-4.15,3.94,0.05,0.21,0.01,3.45,4.2,0.2,78.8,78.912103
0.6,32.41793486,-106.3200653,1219.26,0.8,-0.25,-0.29,-0.7,3.96,0.05,0.21,0.01,3.45,4.2,0.2,78.8,78.912103
0.65,32.41793486,-106.3200653,1219.31,2.77,-0.04,-0.29,2.75,3.98,0.05,0.21,0,3.45,4.2,0,78.8,78.91184955
0.7,32.41793486,-106.3200653,1219.53,6.22,0.17,-0.28,6.22,3.99,0.05,0.21,0.01,3.47,4.2,0.2,79.2,79.31153762
0.75,32.41793486,-106.3200653,1219.93,9.73,0.38,-0.28,9.72,3.99,0.05,0.21,0,3.5,4.2,0,79.8,79.91044988
0.8,32.41793486,-106.3200653,1220.5,13.31,0.6,-0.27,13.29,3.99,0.05,0.22,0.01,3.57,4.4,0.2,81.2,81.31937039
0.85,32.41793486,-106.3200653,1221.26,17,0.81,-0.26,16.98,3.98,0.05,0.21,0.01,3.69,4.2,0.2,83.6,83.70567484
0.9,32.41793486,-106.3200653,1222.21,20.86,1.03,-0.26,20.83,3.97,0.05,0.22,0,3.85,4.4,0,86.8,86.91144919
0.95,32.41793486,-106.3200653,1223.35,24.95,1.24,-0.25,24.92,3.95,0.05,0.21,0.01,4.09,4.2,0.2,91.6,91.69645577
1,32.41793486,-106.3200653,1224.7,29.36,1.47,-0.25,29.32,3.92,0.05,0.23,0,4.4,4.6,0,97.8,97.90812019
1.05,32.41793486,-106.3200653,1226.28,34.11,1.7,-0.24,34.06,3.89,0.05,0.23,0.01,4.74,4.6,0.2,104.6,104.7012894
1.1,32.41793486,-106.3200653,1228.11,39.21,1.93,-0.24,39.16,3.86,0.05,0.23,0,5.1,4.6,0,111.8,111.8945933
1.15,32.41794059,-106.3200653,1230.21,44.66,2.18,-0.24,44.61,3.82,0.05,0.25,0,5.45,5,0,118.8,118.9051723
1.2,32.41794059,-106.3200653,1232.58,50.46,2.43,-0.24,50.4,3.78,0.05,0.25,0,5.79,5,0,125.6,125.6994829
1.25,32.41794059,-106.3200653,1235.25,56.59,2.71,-0.24,56.53,3.74,0.05,0.28,0,6.13,5.6,0,132.4,132.5183761
1.3,32.41794632,-106.3200653,1238.24,63.05,3.01,-0.25,62.98,3.69,0.05,0.3,-0.01,6.45,6,-0.2,138.8,138.9297664
1.35,32.41794632,-106.3200653,1241.56,69.8,3.35,-0.27,69.72,3.65,0.05,0.34,-0.02,6.74,6.8,-0.4,144.6,144.7603537
1.4,32.41794632,-106.3200653,1245.22,76.83,3.72,-0.28,76.74,3.6,0.05,0.37,-0.01,7.02,7.4,-0.2,150.2,150.3823128
1.45,32.41794632,-106.3200653,1249.23,84.1,4.12,-0.31,84,3.57,0.05,0.4,-0.03,7.26,8,-0.6,155,155.207474
1.5,32.41794632,-106.3200653,1253.62,91.59,4.56,-0.34,91.47,3.54,0.05,0.44,-0.03,7.47,8.8,-0.6,159.2,159.4441595
1.55,32.41795205,-106.3200653,1258.38,99.24,5.02,-0.37,99.11,3.52,0.05,0.46,-0.03,7.64,9.2,-0.6,162.6,162.8611679
1.6,32.41795205,-106.3200653,1263.53,107.02,5.52,-0.41,106.88,3.52,0.05,0.5,-0.04,7.77,10,-0.8,165.2,165.5043202
1.65,32.41795205,-106.3200653,1269.07,114.9,6.04,-0.45,114.74,3.54,0.05,0.52,-0.04,7.86,10.4,-0.8,167,167.3254314
1.7,32.41795205,-106.3200653,1275.01,122.81,6.59,-0.5,122.63,3.59,0.05,0.55,-0.05,7.89,11,-1,167.6,167.9635675
1.75,32.41796351,-106.3200653,1281.33,130.72,7.15,-0.54,130.52,3.68,0.05,0.56,-0.04,7.89,11.2,-0.8,167.6,167.9757125
1.8,32.41796924,-106.3200653,1288.06,138.58,7.73,-0.59,138.36,3.8,0.05,0.58,-0.05,7.84,11.6,-1,166.6,167.0063472
1.85,32.41797497,-106.3200653,1295.17,146.35,8.32,-0.65,146.11,3.98,0.05,0.59,-0.06,7.75,11.8,-1.2,164.8,165.2262691
1.9,32.41797497,-106.3200653,1302.67,153.99,8.92,-0.7,153.73,4.2,0.05,0.6,-0.05,7.62,12,-1,162.2,162.6463649
1.95,32.4179807,-106.3200653,1310.54,161.45,9.52,-0.75,161.17,4.47,0.05,0.6,-0.05,7.44,12,-1,158.6,159.056468
2,32.4179807,-106.3200653,1318.78,168.72,10.12,-0.8,168.41,4.79,0.05,0.6,-0.05,7.24,12,-1,154.6,155.068243
2.05,32.41799216,-106.3200653,1327.38,175.75,10.71,-0.85,175.42,5.16,0.05,0.59,-0.05,7.01,11.8,-1,150,150.4667405
2.1,32.41799216,-106.3200653,1336.32,182.53,11.29,-0.9,182.18,5.57,0.05,0.58,-0.05,6.76,11.6,-1,145,145.4666972
2.15,32.41799789,-106.3200653,1345.59,189.04,11.87,-0.94,188.67,6.04,0.05,0.58,-0.04,6.49,11.6,-0.8,139.6,140.0834037
2.2,32.41800361,-106.3200653,1355.18,195.28,12.45,-0.97,194.88,6.54,0.05,0.58,-0.03,6.21,11.6,-0.6,134,134.5024907
2.25,32.41800934,-106.3200653,1365.07,201.23,13.03,-1,200.8,7.08,0.05,0.58,-0.03,5.92,11.6,-0.6,128.2,128.7251335
2.3,32.41801507,-106.3200653,1375.26,206.92,13.6,-1.02,206.47,7.67,0.05,0.57,-0.02,5.67,11.4,-0.4,123.2,123.7269575
2.35,32.4180208,-106.3200653,1385.72,212.43,14.17,-1.04,211.95,8.3,0.05,0.57,-0.02,5.48,11.4,-0.4,119.4,119.9436534
2.4,32.41803226,-106.3200653,1396.45,217.86,14.72,-1.06,217.36,8.96,0.05,0.55,-0.02,5.41,11,-0.4,118,118.5122778
2.45,32.41803799,-106.3200653,1407.45,223.27,15.26,-1.07,222.75,9.65,0.05,0.54,-0.01,5.39,10.8,-0.2,117.6,118.0950465
2.5,32.41803799,-106.3200653,1418.73,228.68,15.78,-1.08,228.13,10.38,0.05,0.52,-0.01,5.38,10.4,-0.2,117.4,117.8599169
2.55,32.41804372,-106.3200653,1430.27,234.07,16.28,-1.09,233.5,11.13,0.05,0.5,-0.01,5.37,10,-0.2,117.2,117.6260175
2.6,32.41805518,-106.3200653,1442.08,239.44,16.75,-1.09,238.85,11.92,0.05,0.47,0,5.35,9.4,0,116.8,117.1776429
2.65,32.41806664,-106.3200653,1454.15,244.78,17.19,-1.08,244.17,12.73,0.05,0.44,0.01,5.32,8.8,0.2,116.2,116.5329138
2.7,32.41806664,-106.3200653,1466.49,250.11,17.61,-1.07,249.49,13.57,0.05,0.42,0.01,5.32,8.4,0.2,116.2,116.5033905
2.75,32.4180781,-106.3200653,1479.1,255.45,18,-1.05,254.82,14.43,0.05,0.39,0.02,5.33,7.8,0.4,116.4,116.6617332
2.8,32.41808956,-106.3200653,1491.97,260.81,18.37,-1.02,260.16,15.31,0.05,0.37,0.03,5.34,7.4,0.6,116.6,116.8361246
2.85,32.41809529,-106.3200653,1505.12,266.2,18.73,-0.98,265.54,16.21,0.05,0.36,0.04,5.38,7.2,0.8,117.4,117.623297
2.9,32.41810675,-106.3200653,1518.53,271.61,19.07,-0.94,270.94,17.13,0.05,0.34,0.04,5.4,6.8,0.8,117.8,117.9988136
2.95,32.41810675,-106.3200653,1532.21,277.04,19.39,-0.9,276.36,18.07,0.05,0.32,0.04,5.42,6.4,0.8,118.2,118.3758421
3,32.41812394,-106.3200653,1546.16,282.48,19.71,-0.86,281.79,19.03,0.05,0.32,0.04,5.43,6.4,0.8,118.4,118.5755455
3.05,32.41813539,-106.3200538,1560.39,287.93,20.03,-0.81,287.23,20,0.05,0.32,0.05,5.44,6.4,1,118.6,118.7767654
3.1,32.41813539,-106.3200538,1574.89,293.38,20.35,-0.77,292.67,21,0.05,0.32,0.04,5.44,6.4,0.8,118.6,118.7752499
3.15,32.41815258,-106.3200538,1589.66,298.83,20.66,-0.72,298.11,22,0.05,0.31,0.05,5.44,6.2,1,118.6,118.7661568
3.2,32.41815831,-106.3200538,1604.7,304.29,20.98,-0.66,303.56,23.03,0.05,0.32,0.06,5.45,6.4,1.2,118.8,118.9783174
3.25,32.41816404,-106.3200538,1620.01,309.76,21.29,-0.61,309.03,24.07,0.05,0.31,0.05,5.47,6.2,1,119.2,119.3653216
3.3,32.4181755,-106.3200538,1635.6,315.25,21.61,-0.55,314.51,25.12,0.05,0.32,0.06,5.48,6.4,1.2,119.4,119.5774226
3.35,32.41818696,-106.3200538,1651.47,320.76,21.92,-0.5,320.01,26.19,0.05,0.31,0.05,5.5,6.2,1,119.8,119.9644947
3.4,32.41819842,-106.3200538,1667.6,326.27,22.24,-0.44,325.52,27.28,0.05,0.32,0.06,5.51,6.4,1.2,120,120.1765368
3.45,32.41820988,-106.3200538,1684.02,331.79,22.55,-0.37,331.03,28.39,0.05,0.31,0.07,5.51,6.2,1.4,120,120.1682154
3.5,32.41821561,-106.3200538,1700.71,337.32,22.86,-0.31,336.55,29.51,0.05,0.31,0.06,5.52,6.2,1.2,120.2,120.3657759
3.55,32.4182328,-106.3200538,1717.67,342.85,23.18,-0.25,342.06,30.64,0.05,0.32,0.06,5.51,6.4,1.2,120,120.1765368
3.6,32.41823853,-106.3200538,1734.91,348.38,23.49,-0.2,347.58,31.8,0.05,0.31,0.05,5.52,6.2,1,120.2,120.3639481
3.65,32.41824426,-106.3200538,1752.43,353.91,23.8,-0.14,353.1,32.97,0.05,0.31,0.06,5.52,6.2,1.2,120.2,120.3657759
3.7,32.41826145,-106.3200538,1770.22,359.43,24.11,-0.08,358.62,34.15,0.05,0.31,0.06,5.52,6.2,1.2,120.2,120.3657759
3.75,32.41826718,-106.3200424,1788.29,364.97,24.42,-0.01,364.15,35.35,0.05,0.31,0.07,5.53,6.2,1.4,120.4,120.5676574
3.8,32.41827863,-106.3200424,1806.64,370.5,24.74,0.05,369.68,36.57,0.05,0.32,0.06,5.53,6.4,1.2,120.4,120.5759512
3.85,32.41829009,-106.3200424,1825.26,376.04,25.06,0.11,375.21,37.8,0.05,0.32,0.06,5.53,6.4,1.2,120.4,120.5759512
3.9,32.41830728,-106.3200424,1844.16,381.59,25.39,0.17,380.74,39.05,0.05,0.33,0.06,5.53,6.6,1.2,120.4,120.5867323
3.95,32.41831301,-106.3200194,1863.33,387.14,25.73,0.22,386.28,40.32,0.05,0.34,0.05,5.54,6.8,1,120.6,120.7956953
4,32.4183302,-106.3200194,1882.79,392.69,26.08,0.28,391.82,41.6,0.05,0.35,0.06,5.54,7,1.2,120.6,120.8089401
4.05,32.41833593,-106.3200194,1902.52,398.24,26.44,0.33,397.36,42.9,0.05,0.36,0.05,5.54,7.2,1,120.6,120.8188727
4.1,32.41834739,-106.3200194,1922.52,403.8,26.81,0.38,402.91,44.22,0.05,0.37,0.05,5.55,7.4,1,120.8,121.0305746
